Vehicle #,Calvin #,Vehicle Year,Make,Model,VIN,Title
10,,2006,BIG,TEX,16VCX162362D14222,
11,1,2006,CHEVR,EXPRES,1GCGG25U861242605,Y
12,,2004,CARG,MATE,5NHUCM0134N047716,Y
13,,2004,GENS,CANOE,5KYMB161241002306,Y
14,HANDICAP,2003,FORD,ECONOL,1FTNE24L03HB89987,Y
15,UTILITY TR,2003,WHIT,CARGO,4X4TSE6233N038630,Y
16,CD BOX,2019,FORD,ECONOL,1FDWE4F68KDC06513,Y
17,11,2002,CHEVR,ASTRO,1GCDM19X62B122770,Y
18,,2002,RED,HOMEMAD,2,
19,GROUNDS,2000,STERL,L,2FZHAJAA4YAG69696,Y
20,BOX,2008,CHEVR,EXPRES,1GBHG31C781160041,Y
21,,1989,PACE,TRAILER,40LFB0813KP006249,
22,GROUNDS,1988,FORD,F600,1FDNF60H6JVA30777,Y
23,GROUNDS,1988,FORD,F800,1FDXK84A6JVA00269,Y
24,GROUNDS,2005,FORD,ECONOL,1FTRE14W85HA43457,Y
25,Seminary,2007,CHEVR,SILVER,1GCEC14X67Z122636,
26,GROUNDS,2007,CHEVR,SILVER,1GCHC24U57E102488,Y
27,GROUNDS,2007,CHEVR,SILVER,1GBJC34U87E181831,Y
28,,2007,CORNE, ,4MJUB18297E045179,Y
29,BUNKER,2007,CHEVR,SILVER,1GCHK24U97E197687,Y
30,SOLD,2004,CHEVR,IMPALA,2G1WF52E649172584,
31,SCRAPPED,2003,CHEVR,ASTRO,1GNEL19X03B113420,
32,BIO Keith Grasman,2000,CHEVR,GMT-40,1GCHK33J2YF457274,Y
33,23,2008,CHEVR,EXPRES,1GAGG25K981114271,Y
34,GROUNDS,2008,CHEVR,SILVER,1GCEK14028Z183571,Y
35,,2008,ROYA,CARGO,5LABE14248M019513,Y
36,BOX,2007,FORD,ECONOL,1FDWE35L47DA26972,Y
37,FACILITIES,2004,CHEVR,ASTRO,1GNDM19X54B103718,Y
38,BOX,2002,FORD,ECONOL,1FDWE35L52HB44451,Y
39,GROUNDS,1998,CHEVR,EXPRES,1GCHG35R6W1014222,Y
40,22,2010,CHEVR,EXPRES,1GA2GYDG5A1137501,Y
41,5,2011,CHEVR,EXPRES,1GCWGFBAXB1150225,Y
42,41,2008,CHEVR,IMPALA,2G1WT58K681215217,Y
43,SCRAPPED,2005,FORD,ECONOL,1FTRE14W85HB15323,
44,CD,2011,FORD,ECONOL,1FTNE1EW8BDA20664,Y
45,21,2003,CHEVR,S TRUC,1GCCS19X438147215,Y
46,42,2013,CHEVR,EXPRES,1GAWGPFG6D1121076,
47,,2002,CONT,TRAILER,1ZJBB23212M009876,Y
48,GROUNDS,2004,CHEVR,SILVER,1GCHC29U04E213020,Y
49,Seminary,2011,FORD,TRANSI,NM0LS6BN4BT049218,
50,GROUNDS,2013,CHEVR,SILVER,1GCNKPE07DZ400057,Y
51,MAIL,2014,CHEVR,EXPRES,1GCSGAF47E1111652,Y
52,45,2014,DODGE,GRAND,2C4RDGBG2ER406096,Y
53,CS #1,2014,FORD,ESCAPE,1FMCU0F73EUD08328,Y
54,9,2014,CHEVR,EXPRES,1GCWGFCG8E1129333,Y
55,CS #2,2014,FORD,EDGE,2FMDK3GC9EBA99738,Y
56,GROUNDS,2015,CHEVR,SILVER,1GC0KUEG4FZ506586,Y
57,CS #4,2015,FORD,ESCAPE,1FMCU0F71FUA60257,Y
58,SOLD,2008,CHEVR,EXPRES,1GAGG25K481113755,VOID
59,6,2015,CHEVR,SILVER,1GCNCPEH0FZ312554,Y
60,GROUNDS,2015,CHEVR,SILVER,1GC2KUEG6FZ540666,Y
61,CS #3,2015,FORD,ESCAPE,1FMCU0F77FUC24224,Y
63,10,2014,FORD,ECONOL,1FTNE2EW1EDA31614,Y
64,GROUNDS,2016,CHEVR,SILVER,1GC0KUEG1GZ122766,Y
65,CD  ,2014,FORD,TRANSI,NM0LS6E77E1139895,Y
66,8,2013,FORD,TRANSI,NM0LS7BNXDT157450,Y
67,MAIL,2014,FORD,TRANSI,NM0GE9F76E1142148,Y
68,4,2016,FORD,TRANSI,1FTYR1ZM3GKA47834,Y
69,BIO Keith Grasman,2019,CHEVR,SILVER,1GC4KVCGXKF146066,Y
70,14,2013,FORD,TRANSI,NM0KS9BN4DT126640,Y
71,Plaster Creek,2010,DODGE,DAKOTA,1D7RW3GK6AS164508,Y
72,3,2011,FORD,ECONOL,1FTNE2EW2BDB09118,Y
73,GROUNDS,2010,GMC,SIERRA,1GT3KZBG8AF151169,Y
74,7,2018,FORD,TRANSI,1FTYR1ZM1JKA59312,Y
76,,1995,HOME,TRAILER,NO VIN,
77,FACILITIES,2017,JIG,UT410,5DYAA51L3HC008007,
78,BONEYARD,2017,JIG,UT914,5DYAAB2L3KC008996,
79,SOLD,2006,FORD,ECONOL,1FTRE14W06HB09002,Y
80,Scott M,2020,CHEVR,SILVER,1GC3YSE72LF286037,Y
81,2,2009,CHEVR,EXPRES,1GCGG25C591136690,Y
82,LEROY,2017,TOYOT,RAV4,JTMZFREV8HJ143993,N
83,WEIBE,2022,TOYOT,HIGHLA,5TDXBRCH1NS561925,N
84,PRISON,2013,HONDA,CIVIC,2HGFB2F59DH574392,Y
,,,,,,
,,,,,,
,,UNCLAIMED WITH TITLE,,,,
,, NO TITLE OFF CAMPUS PAYING INSURANCE,,,,
,,CLAIMED NO TITLE,,,,
,,,,,,
,,,,,,
,42,2013,CHEVR,EXPRES,1GAWGPFG6D1121076,
,,,,,,
,,,,,,
,,,,,,
82,Old Pres,2017,TOYOT,RAV4,JTMZFREV8HJ143993,N
58,SOLD 2020,2008,CHEVR,EXPRES,1GAGG25K481113755,VOID
49,Seminary,2011,FORD,TRANSI,NM0LS6BN4BT049218,
43,Scrapped,2005,FORD,ECONOL,1FTRE14W85HB15323,
30,SOLD  ,2004,CHEVR,IMPALA,2G1WF52E649172584,
31,Scrapped,2003,CHEVR,ASTRO,1GNEL19X03B113420,
25,Seminary,2007,CHEVR,SILVER,1GCEC14X67Z122636,
18,,2002,RED,HOMEMAD,2,
,,,,,,
,,,,,,
,SOLD,2006,FORD,ECONOL,1FTRE14W06HB09002,Y
,Plaster Creek,2010,DODGE,DAKOTA,1D7RW3GK6AS164508,Y
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
